time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
60,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999861,2.5499999999343257,2.549999927429127,2.5499797045575043,2.5485044728470623,2.5184716781246066,2.3270840306350662
120,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.54999999999953,2.5499999998541454,2.549999977513091,2.5499982637392749,2.5499321325683852,2.5486328589847824,2.5353925550570819,2.4632482006562304,2.2420952449812219
180,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999997756,2.5499999999719569,2.549999997818202,2.5499998932304901,2.54999669960007,2.549935137490126,2.5491817197066626,2.5432788675719071,2.5132864768297032,2.4123538637538031,2.1798371672775652
240,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999643,2.5499999999970631,2.5499999998397849,2.54999999383186,2.5499998320425332,2.5499967566046888,2.5499554037246175,2.5495608737121795,2.5468782685923093,2.5337916034078085,2.4875048505687674,2.3668377847394724,2.1292861483447902
300,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999976,2.5499999999997565,2.5499999999892822,2.549999999646031,2.5499999911335895,2.5499998314166965,2.5499975631516123,2.5499731548690137,2.5497738011013245,2.5485348231141178,2.5426531864409716,2.5212022191479804,2.4605530384425673,2.3258235289696825,2.0863561357517075
360,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999843,2.5499999999993008,2.5499999999793239,2.5499999995145077,2.5499999909230171,2.5499998648945983,2.5499983981156107,2.5499848496870188,2.5498854443743637,2.549305273422422,2.5466057010498377,2.5365572712163154,2.5064806494700949,2.4335201424473469,2.2884957355521189,2.0488750041215797
420,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999563,2.5499999999987435,2.5499999999721843,2.549999999491531,2.5499999923279648,2.5499999045759987,2.5499990219590503,2.5499917354197574,2.5499423515736588,2.5496673935476002,2.5484081297557872,2.543654644100525,2.52881899140846,2.4903552639642452,2.4069459320786111,2.2542521367123758,2.0154624406109138
480,2.5499999999999998,2.5499999999999998,2.5499999999999985,2.5499999999999203,2.5499999999982919,2.549999999969903,2.5499999995476714,2.5499999942235188,2.5499999375028541,2.549999427984714,2.5499955728490864,2.5499710146478396,2.5498392881445926,2.5492440001652343,2.5469748858386061,2.5396656275766762,2.5197113988522974,2.4733442619619592,2.381081166185163,2.222606494131536,1.9852253486089186
540,2.5499999999999998,2.5499999999999958,2.5499999999998813,2.5499999999980321,2.5499999999714968,2.5499999996362166,2.5499999959500106,2.5499999609001289,2.5499996736746269,2.5499976491983549,2.54998538972997,2.5499216379768126,2.5496369368460874,2.5485445215331026,2.544939167260444,2.534686583923079,2.5094969800806948,2.4558148009812224,2.3560401994562525,2.1931664301933713,1.9576419643124463
600,2.5499999999999701,2.5499999999998253,2.5499999999978966,2.5499999999749088,2.5499999997240819,2.5499999972769292,2.5499999761706005,2.5499998162131963,2.549998754684514,2.5499925985021061,2.5499614349105748,2.5498238040148613,2.5492935162481016,2.5475101711391108,2.5422703245738827,2.5287966823439656,2.498398816716263,2.4380065990279571,2.3318305537773805,2.1656299133401182,1.9323334915615316
660,2.5499999999993719,2.5499999999975849,2.5499999999781857,2.5499999997954146,2.549999998202801,2.5499999856371938,2.5499998968540782,2.5499993384355415,2.5499962225964672,2.5499808307823493,2.5499135951239897,2.5496540171046052,2.5487683449553131,2.5460965908059316,2.538964008125371,2.5220862532244168,2.4866010513273493,2.4200872084303895,2.308448411084175,2.1397705386807067,1.9089926081846806
720,2.5499999999933656,2.5499999999786573,2.5499999998446827,2.5499999988069333,2.5499999913132672,2.5499999418074251,2.5499996457708112,2.5499980527809858,2.5499903654696272,2.5499571650273674,2.5498289879021536,2.5493868808213018,2.5480246208125878,2.5442733816162733,2.5350336008628678,2.5146452904977106,2.474251029950211,2.4021694247890255,2.2858657368848836,2.115411795085508,1.8873218397093692
780,2.5499999999510687,2.5499999998633798,2.549999999171495,2.5499999946281968,2.5499999666522926,2.5499998076941139,2.54999898275087,2.5499950948895429,2.549978511478324,2.549914621984795,2.5496925662006404,2.5489967151846136,2.5470308815100275,2.5420223721404653,2.5305044103014129,2.5065613711896426,2.4614750871104984,2.3843486812279253,2.2640752635006054,2.0924016873680644,1.8670902505665086
840,2.5499999997262934,2.5499999993207005,2.5499999964795736,2.5499999802750168,2.5499998932499097,2.549999458887616,2.5499974634657252,2.5499890736115214,2.5499568954819045,2.5498445452634022,2.5494878678237214,2.5484588936493626,2.5457617259493688,2.539335852168664,2.5254095142584214,2.4979164756749506,2.4483768396790451,2.3666898172946991,2.2430414953642992,2.0706047823976284,1.848124077045991
900,2.5499999987727207,2.5499999972419629,2.5499999875363626,2.5499999385070304,2.5499997046729899,2.549998661935172,2.5499943538831782,2.5499779535046501,2.549920612464736,2.5497368561854366,2.5491977616579717,2.5477507613410886,2.5441977570830772,2.5362144127204833,2.5197865514563329,2.4887871267302284,2.4350458976539513,2.3492479670656556,2.2227442955614616,2.0499096500294041,1.8302411249426169
960,2.5499999954034491,2.5499999905073309,2.5499999619722056,2.5499998322477455,2.5499992746574076,2.5499970223626662,2.549988545153453,2.5499589717230311,2.549863655090717,2.5495803929585095,2.5488051391252706,2.5468522917086447,2.5423253919855977,2.5326654683146188,2.5136758104341532,2.4792431579038561,2.4215551384570646,2.3320561122800814,2.203137885930603,2.0301948129929586,1.8134090021264995
1020,2.5499999851612585,2.5499999714992252,2.5499998973929219,2.5499995901870176,2.5499983855660155,2.5499939275748793,2.5499784783537973,2.5499285968659451,2.5497790201853556,2.5493632764068841,2.5482934546970921,2.5457463046236319,2.5401359271781745,2.5287005730723737,2.5071160502795093,2.4693431360843192,2.4079573912756667,2.3151266989411288,2.1841763454357919,2.0113938462026026,1.797491353525118
1080,2.5499999576897365,2.5499999236734285,2.5499997501965184,2.5499990871603564,2.5499966910341092,2.5499884893552274,2.5499620854415794,2.549882527157652,2.5496588544351382,2.5490732426310716,2.5476470863115579,2.5444184462189567,2.5376248114327695,2.524334542921197,2.5001457019736386,2.4591414042211222,2.3943021274398952,2.298479705279862,2.1658369568582945,1.9934244782375581,1.7824863338910695
1140,2.5499998913678641,2.549999814436454,2.5499994424747032,2.5499981194689352,2.5499936748959082,2.5499794904230919,2.5499367503533832,2.5498157249165843,2.5494946305732977,2.5486979635648486,2.5468516439965372,2.5428571706826641,2.5347909833730236,2.5195838960264774,2.4927996389538367,2.4486805312435509,2.3806180965663239,2.2821066398886836,2.1480643730931441,1.9762385507070876,1.7683086184610493
1200,2.5499997449373764,2.5499995846272774,2.5499988446686683,2.5499963758541808,2.549988608852499,2.5499653385457752,2.5498992903959481,2.5497224748315572,2.5492773146201313,2.5482252599395854,2.5458939973477528,2.5410532319393098,2.5316356614536901,2.5144655859508962,2.4851102517819541,2.43799991708438,2.3669375348967665,2.2660214120248465,2.1308571618084544,1.9597933224455144,1.7548380364899669
1260,2.5499994454272445,2.5499991340497399,2.5499977539567866,2.5499934051485011,2.5499805110109772,2.5499440298666616,2.5498459556689532,2.5495964599589578,2.5489975370600568,2.5476433261917522,2.5447624676075069,2.5389998498564021,2.5281628025209573,2.5089983699367764,2.4771098520789168,2.4271369993710579,2.3532897110952664,2.250232793776382,2.1141922958374564,1.9440348128187921,1.741970579073417
1320,2.54999887186192,2.5499983027398514,2.5499958686959809,2.5499885819762018,2.5499681077041267,2.5499131241033117,2.5497724487957569,2.5494308592206987,2.54864577343323,2.5469409362770574,2.5434469306162666,2.5366925615731488,2.5243786221659859,2.5032020724491151,2.4688300172716429,2.4161275171140892,2.3397030878530147,2.2347495838247236,2.0980468226358995,1.9288922567012945,1.7297383975639735
1380,2.5499978345287215,2.5499968479753292,2.5499927595997747,2.5499810721076912,2.5499498006986259,2.5498697326411661,2.5496739621001461,2.5492184561446098,2.5482125132950881,2.5461076007311396,2.5419388278786106,2.5341289181376463,2.5202907665074314,2.4970958004556523,2.4602977199598448,2.4049970284854711,2.3261885759973335,2.2195545773343879,2.0823717083238149,1.9143392254260303,1.7181343653384757
1440,2.5499960499188163,2.5499944173678202,2.5499878385779353,2.5499697989412136,2.5499236408604355,2.5498105176749184,2.5495452226834829,2.5489517328323226,2.5476883574175204,2.5451335469186187,2.5402308484051361,2.5313077241030371,2.5159072421599924,2.4906974046720012,2.4515374995639099,2.3937700556794272,2.31276269572811,2.2046524266566174,2.0671688113857631,1.9003589011323547,1.7069976795211532
