time_h,time_s,r_0_cm,r_0.5_cm,r_1_cm,r_1.5_cm,r_2_cm
6,21600,1.0176083213026823,0.98873497010973788,0.9019497619636998,0.75506231734838292,0.53249090016224432
12,43200,0.45546888181791545,0.44251978012850501,0.40253516864060207,0.32936565800297085,0.16414508942892972
18,64800,0.29869634065743705,0.29141220994283845,0.26859194779604373,0.22521390575280126,0.084382828787249425
24,86400,0.23774632508390597,0.23268963723768613,0.21668535776628467,0.18552384401907493,0.066176838688923226
30,108000,0.20586879302376265,0.20188865902602099,0.18920643867201059,0.1641222502304531,0.059768130333273023
36,129600,0.18589951711614561,0.18255089685960668,0.17183018106492315,0.1503902752940548,0.05662319070431443
42,151200,0.17205739372983792,0.16912391020785447,0.15969909401681506,0.14069479236698301,0.05501303232000735
48,172800,0.16182962927041536,0.15919035336254778,0.15068739337336937,0.13343134323084674,0.053679695570473758
54,194400,0.15386058015017515,0.15144280286646455,0.14363600692445677,0.12770969902328891,0.053066702676058466
57.476852474636502,206916.66890869141,0.14999997042208021,0.14768648667282566,0.14020835260696446,0.12491357559347599,0.052754673184882514
